order_id,user_id,order_date,item_id,item_price,qty,city,payment_type,order_status
o37,u436,2023-01-05 16:16:00,i184,1755.32,2,Mumbai,netbanking,delivered
o38,u193,2023-01-28 18:21:00,i198,365.79,1,Delhi,cash,returned
o39,u305,2023-11-04 09:45:00,i118,1410.49,2,Kolkata,card,delivered
o40,u81,2023-05-11 18:21:00,i199,1246.01,2,Pune,netbanking,delivered
o41,u177,2023-10-07 07:04:00,i114,35.38,2,Ahmedabad,upi,delivered
o42,u213,2023-08-19 16:03:00,i58,1208.01,4,Hyderabad,card,cancelled
o43,u16,2023-04-08 07:47:00,i20,1435.15,3,Mumbai,netbanking,delivered
o44,u249,2023-11-07 07:32:00,i193,1504.81,3,Hyderabad,card,returned
o45,u137,2023-05-12 07:11:00,i57,1728.52,4,Ahmedabad,upi,delivered
o46,u146,2023-10-18 02:09:00,i70,472.96,2,Bangalore,netbanking,delivered
o47,u381,2023-04-11 20:37:00,i191,1036.56,3,Pune,upi,delivered
o48,u7,2023-04-04 17:51:00,i153,576.82,5,Delhi,upi,delivered
o49,u7,2023-06-15 12:43:00,i56,1706.84,4,Ahmedabad,netbanking,delivered
o50,u191,2023-11-24 00:47:00,i28,1274.82,2,Hyderabad,card,delivered
o51,u59,2023-10-05 21:11:00,i75,1599.39,1,Ahmedabad,cash,delivered
o52,u21,2023-05-26 17:39:00,i100,1161.85,4,Hyderabad,netbanking,returned
o53,u416,2023-02-04 13:55:00,i86,1510.21,5,Bangalore,upi,returned
o54,u26,2023-08-16 14:51:00,i83,1057.57,5,Kolkata,upi,delivered
o55,u497,2023-07-11 22:42:00,i97,1799.88,5,Chennai,upi,delivered
o56,u393,2023-10-06 13:21:00,i55,1271.27,5,Delhi,card,delivered
o57,u433,2023-04-16 12:52:00,i67,219.64,2,Bangalore,cash,returned
o58,u421,2023-04-22 19:26:00,i58,1725.03,5,Ahmedabad,upi,delivered
o59,u469,2023-12-09 18:32:00,i51,1157.98,3,Chennai,upi,delivered
o60,u472,2023-12-03 11:44:00,i72,1636.13,5,Bangalore,upi,returned
o61,u149,2023-07-17 13:42:00,i50,877.13,2,Ahmedabad,cash,returned
o62,u292,2023-07-04 04:31:00,i193,590.84,1,Mumbai,cash,returned
o63,u167,2023-04-02 22:33:00,i189,1080.89,1,Bangalore,netbanking,delivered
o64,u386,2023-06-20 08:31:00,i133,613.7,1,Ahmedabad,cash,delivered
o65,u125,2023-01-25 15:25:00,i34,75.69,4,Hyderabad,cash,delivered
o66,u483,2023-07-18 04:54:00,i34,1309.79,5,Pune,netbanking,delivered
o67,u313,2023-04-13 12:05:00,i3,496.92,3,Chennai,netbanking,delivered
o68,u490,2023-05-24 07:20:00,i36,1720.64,5,Mumbai,upi,delivered
o69,u61,2023-12-19 20:53:00,i144,586.82,4,Bangalore,upi,delivered
o70,u491,2023-02-21 06:35:00,i52,514.52,1,Chennai,cash,delivered
o71,u473,2023-11-19 16:21:00,i32,643.19,1,Ahmedabad,cash,delivered
o72,u289,2023-04-04 11:16:00,i200,1646.37,3,Mumbai,cash,delivered
o73,u375,2023-04-27 01:04:00,i33,1627.06,5,Hyderabad,netbanking,delivered
o74,u304,2023-06-02 17:58:00,i2,66.03,4,Mumbai,cash,delivered
o75,u124,2023-03-29 02:00:00,i121,1387.79,4,Hyderabad,cash,delivered
o76,u167,2023-04-17 11:23:00,i73,1812.27,2,Mumbai,cash,delivered
o77,u299,2023-06-01 07:27:00,i17,237.89,5,Mumbai,netbanking,delivered
o78,u56,2023-11-30 16:12:00,i160,792.78,4,Chennai,netbanking,delivered
o79,u373,2023-01-31 02:17:00,i131,837.75,2,Hyderabad,netbanking,delivered
o80,u487,2023-05-19 15:59:00,i138,1908.1,5,Pune,netbanking,delivered
o81,u294,2023-11-23 03:59:00,i7,1151.7,1,Hyderabad,netbanking,delivered
o82,u113,2023-08-17 02:07:00,i32,1241.06,2,Bangalore,card,delivered
o83,u422,2023-06-15 11:34:00,i29,1721.39,1,Ahmedabad,upi,cancelled
o84,u345,2023-02-22 01:53:00,i102,547.77,4,Hyderabad,upi,delivered
o85,u237,2023-01-31 11:05:00,i99,966.44,5,Chennai,card,delivered
o86,u380,2023-01-21 00:05:00,i139,1960.94,4,Pune,card,delivered
o87,u242,2023-05-31 00:43:00,i112,1855.04,5,Delhi,netbanking,returned
o88,u111,2023-09-02 22:50:00,i179,641.27,4,Chennai,upi,cancelled
o89,u198,2023-05-25 18:07:00,i125,1847.59,1,Ahmedabad,upi,delivered
o90,u161,2023-06-10 01:56:00,i160,1858.46,3,Kolkata,card,cancelled
o91,u148,2023-08-03 19:41:00,i71,35.54,2,Chennai,upi,delivered
o92,u68,2023-03-31 06:04:00,i47,929.71,1,Mumbai,netbanking,delivered
o93,u438,2023-10-18 11:09:00,i43,1330.8,2,Kolkata,card,cancelled
o94,u164,2023-08-06 13:25:00,i85,1952.52,4,Pune,card,delivered
o95,u154,2023-06-05 19:07:00,i10,148.33,3,Delhi,upi,delivered
o96,u364,2023-02-15 21:43:00,i96,526.36,1,Ahmedabad,cash,delivered
o97,u465,2023-02-21 03:11:00,i177,1258.97,4,Pune,netbanking,delivered
o98,u256,2023-06-15 21:39:00,i28,660.61,4,Mumbai,upi,cancelled
o99,u323,2023-05-02 21:58:00,i15,626.69,2,Pune,card,delivered
o100,u42,2023-04-10 05:50:00,i182,1972.23,3,Hyderabad,netbanking,delivered
o101,u300,2023-03-02 13:13:00,i119,59.02,2,Ahmedabad,cash,delivered
o102,u64,2023-11-21 07:21:00,i80,723.61,1,Pune,upi,delivered
o103,u104,2023-03-15 09:19:00,i150,1643.67,2,Kolkata,card,delivered
o104,u110,2023-02-28 23:12:00,i124,703.03,2,Bangalore,netbanking,delivered
o105,u485,2023-12-17 18:24:00,i79,1522.73,1,Delhi,upi,delivered
o106,u108,2023-02-21 03:54:00,i94,1078.96,3,Hyderabad,upi,delivered
o107,u163,2023-01-27 21:33:00,i9,698.33,1,Kolkata,netbanking,delivered
o108,u58,2023-11-11 00:12:00,i184,547.8,4,Chennai,netbanking,cancelled
o109,u81,2023-08-17 04:57:00,i183,1088.0,4,Chennai,netbanking,delivered
o110,u78,2023-01-13 09:29:00,i159,1307.75,3,Pune,upi,delivered
o111,u352,2023-05-24 08:09:00,i114,1349.21,1,Kolkata,card,cancelled
o112,u294,2023-03-30 15:14:00,i197,1774.46,5,Bangalore,netbanking,delivered
o113,u130,2023-10-03 03:38:00,i3,1218.45,5,Chennai,upi,delivered
o114,u219,2023-01-21 21:59:00,i163,150.83,3,Hyderabad,upi,delivered
o115,u28,2024-01-01 02:41:00,i78,999.94,4,Bangalore,card,delivered
o116,u470,2023-09-20 03:18:00,i113,1852.67,4,Pune,cash,delivered
o117,u253,2023-12-04 03:09:00,i163,1856.36,3,Kolkata,card,delivered
o118,u329,2023-01-06 04:30:00,i11,43.73,3,Pune,card,cancelled
o119,u282,2023-02-23 10:46:00,i20,958.72,4,Ahmedabad,netbanking,delivered
o120,u152,2023-06-14 16:40:00,i46,1333.09,4,Bangalore,netbanking,delivered
o121,u472,2023-08-23 20:51:00,i62,816.8,2,Delhi,cash,delivered
o122,u48,2023-09-07 21:26:00,i6,1676.91,4,Mumbai,card,delivered
o123,u262,2023-03-27 11:17:00,i180,1999.16,2,Pune,upi,delivered
o124,u235,2023-12-30 07:21:00,i49,40.17,1,Chennai,card,cancelled
o125,u167,2023-10-03 03:14:00,i75,534.4,3,Mumbai,netbanking,delivered
o126,u224,2023-07-21 15:28:00,i70,1492.42,4,Hyderabad,upi,delivered
o127,u290,2023-01-20 01:06:00,i84,490.54,2,Bangalore,cash,returned
o128,u242,2023-12-31 02:34:00,i85,1386.87,5,Kolkata,card,delivered
o129,u44,2023-06-26 22:48:00,i186,258.87,1,Bangalore,cash,delivered
o130,u62,2023-10-29 16:03:00,i115,95.64,1,Chennai,upi,delivered
o131,u16,2023-01-17 13:01:00,i137,438.81,2,Hyderabad,upi,delivered
o132,u271,2023-02-04 00:17:00,i31,1809.78,5,Pune,netbanking,delivered
o133,u207,2023-03-10 01:54:00,i116,1230.48,4,Pune,upi,cancelled
o134,u354,2023-06-15 15:25:00,i186,1905.02,3,Pune,upi,delivered
o135,u230,2023-02-19 11:42:00,i32,636.16,1,Mumbai,netbanking,delivered
o136,u469,2023-10-11 12:11:00,i32,262.28,4,Chennai,card,delivered
o137,u294,2023-10-27 18:43:00,i81,484.96,1,Chennai,card,delivered
o138,u490,2023-11-24 19:21:00,i199,1851.34,4,Delhi,netbanking,delivered
o139,u455,2023-10-31 00:50:00,i59,649.12,5,Kolkata,netbanking,delivered
o140,u194,2023-08-15 07:11:00,i12,29.31,4,Bangalore,cash,cancelled
o141,u497,2023-08-23 06:45:00,i171,31.11,2,Mumbai,card,delivered
o142,u362,2023-06-26 04:35:00,i54,697.29,5,Delhi,netbanking,delivered
o143,u93,2023-06-12 17:19:00,i58,836.47,4,Delhi,upi,delivered
o144,u31,2023-06-17 08:33:00,i112,1803.76,5,Mumbai,cash,delivered
o145,u60,2023-06-25 20:54:00,i122,794.66,5,Mumbai,cash,delivered
o146,u80,2023-11-30 11:08:00,i138,767.74,1,Pune,netbanking,delivered
o147,u233,2023-08-02 10:25:00,i44,1056.3,3,Bangalore,cash,delivered
o148,u169,2023-10-21 07:01:00,i20,839.75,3,Bangalore,upi,cancelled
o149,u143,2023-02-23 13:25:00,i117,1961.22,3,Mumbai,netbanking,delivered
o150,u177,2023-10-14 22:56:00,i102,1122.26,1,Pune,cash,delivered
o151,u430,2023-09-27 09:10:00,i145,221.71,4,Mumbai,card,delivered
o152,u71,2023-05-17 03:13:00,i184,589.62,1,Delhi,card,delivered
o153,u84,2023-08-25 10:08:00,i18,1824.1,3,Kolkata,upi,delivered
o154,u431,2023-03-07 21:27:00,i82,969.81,1,Bangalore,cash,delivered
o155,u441,2023-10-02 19:19:00,i191,1862.72,4,Hyderabad,netbanking,cancelled
o156,u289,2023-10-30 10:23:00,i54,1785.06,4,Chennai,card,delivered
o157,u169,2023-11-21 06:29:00,i162,614.97,1,Pune,cash,delivered
o158,u292,2023-11-13 19:59:00,i74,1817.35,3,Mumbai,card,delivered
o159,u499,2023-09-14 02:46:00,i56,403.85,1,Chennai,cash,returned
o160,u375,2023-07-19 02:12:00,i56,816.99,1,Kolkata,netbanking,delivered
o161,u272,2023-02-07 13:13:00,i122,643.92,3,Chennai,netbanking,delivered
o162,u381,2023-12-03 09:20:00,i155,300.59,3,Kolkata,upi,cancelled
o163,u207,2023-01-30 03:02:00,i16,453.53,1,Hyderabad,netbanking,returned
o164,u489,2023-09-05 05:38:00,i179,291.67,1,Kolkata,netbanking,delivered
o165,u458,2023-03-27 12:14:00,i131,1466.82,4,Chennai,cash,delivered
o166,u433,2023-05-12 00:58:00,i131,1318.86,2,Chennai,cash,delivered
o167,u6,2023-08-10 22:35:00,i42,761.52,5,Kolkata,card,delivered
o168,u409,2023-06-10 08:15:00,i32,456.41,4,Ahmedabad,upi,delivered
o169,u217,2023-12-24 05:29:00,i25,1381.89,2,Mumbai,cash,delivered
o170,u331,2023-10-19 11:26:00,i141,636.84,2,Bangalore,netbanking,delivered
o171,u186,2023-05-30 10:19:00,i10,505.37,1,Bangalore,cash,delivered
o172,u415,2023-11-24 05:17:00,i188,1172.01,4,Ahmedabad,cash,cancelled
o173,u58,2023-07-16 00:53:00,i99,1452.94,5,Hyderabad,upi,delivered
o174,u419,2023-05-30 02:56:00,i24,1068.5,5,Delhi,upi,delivered
o175,u370,2023-10-12 02:33:00,i27,1339.68,1,Bangalore,upi,delivered
o176,u367,2023-11-26 13:50:00,i55,1317.84,4,Hyderabad,card,delivered
o177,u94,2023-07-21 00:27:00,i24,949.75,5,Kolkata,upi,delivered
o178,u120,2023-01-08 12:52:00,i156,1049.37,3,Hyderabad,cash,delivered
o179,u279,2023-11-30 19:19:00,i14,156.39,1,Delhi,netbanking,delivered
o180,u480,2023-01-31 21:47:00,i46,1134.57,2,Mumbai,upi,delivered
o181,u248,2023-09-27 10:10:00,i19,460.25,3,Chennai,upi,returned
o182,u109,2023-11-29 02:45:00,i174,107.52,1,Pune,netbanking,delivered
o183,u312,2023-04-29 19:10:00,i156,1840.02,5,Hyderabad,upi,delivered
o184,u350,2023-06-14 09:25:00,i104,166.78,2,Kolkata,upi,delivered
o185,u401,2023-02-12 13:37:00,i162,741.12,2,Mumbai,upi,delivered
o186,u175,2023-08-18 05:47:00,i149,119.72,2,Mumbai,cash,delivered
o187,u155,2023-02-25 19:01:00,i189,294.18,4,Pune,netbanking,delivered
o188,u428,2023-10-14 01:45:00,i158,292.29,4,Mumbai,cash,delivered
o189,u452,2023-10-12 12:47:00,i2,375.35,5,Bangalore,cash,delivered
o190,u325,2023-09-11 11:15:00,i127,604.03,1,Hyderabad,netbanking,delivered
o191,u97,2023-02-18 15:54:00,i72,1567.48,2,Mumbai,cash,delivered
o192,u121,2023-07-04 06:22:00,i57,161.94,2,Chennai,card,delivered
o193,u151,2023-12-04 19:32:00,i60,1436.49,1,Delhi,cash,delivered
o194,u170,2023-04-19 18:40:00,i118,1720.73,2,Pune,cash,delivered
o195,u325,2023-11-03 14:42:00,i185,1720.41,3,Chennai,netbanking,delivered
o196,u250,2023-06-09 09:40:00,i18,1735.74,2,Hyderabad,cash,delivered
o197,u288,2023-07-02 11:28:00,i91,1312.4,4,Hyderabad,netbanking,delivered
o198,u131,2023-07-27 05:20:00,i4,1186.93,2,Mumbai,netbanking,delivered
o199,u246,2023-03-26 01:04:00,i176,1025.98,4,Chennai,upi,returned
o200,u165,2023-07-29 21:19:00,i191,1240.61,2,Pune,upi,cancelled
o201,u140,2023-03-23 06:59:00,i45,1668.41,4,Chennai,upi,delivered
o202,u402,2023-06-30 21:55:00,i153,113.24,2,Chennai,cash,delivered
o203,u23,2023-06-15 21:27:00,i48,1936.0,1,Mumbai,netbanking,delivered
o204,u482,2023-07-15 22:09:00,i192,1241.26,1,Bangalore,card,delivered
o205,u80,2023-08-07 05:14:00,i192,1274.32,5,Pune,card,returned
o206,u468,2023-04-03 03:33:00,i128,1294.54,2,Kolkata,cash,cancelled
o207,u240,2023-12-26 10:52:00,i61,1837.4,3,Pune,netbanking,returned
o208,u192,2023-08-11 08:06:00,i56,1809.62,5,Ahmedabad,cash,delivered
o209,u120,2023-07-25 02:51:00,i76,981.37,5,Ahmedabad,upi,cancelled
o210,u455,2023-03-22 11:48:00,i77,1554.7,2,Ahmedabad,upi,delivered
o211,u293,2023-03-22 00:35:00,i81,547.46,1,Kolkata,upi,cancelled
o212,u39,2023-04-29 01:39:00,i61,1282.55,2,Kolkata,upi,delivered
o213,u335,2023-08-25 14:13:00,i1,732.59,5,Bangalore,upi,delivered
o214,u483,2023-11-04 22:13:00,i88,601.43,4,Chennai,upi,delivered
o215,u345,2023-01-04 04:48:00,i82,1893.11,2,Chennai,netbanking,delivered
o216,u9,2023-04-07 09:36:00,i49,1181.56,5,Kolkata,upi,delivered
o217,u352,2023-02-27 20:33:00,i168,258.11,2,Pune,cash,delivered
o218,u152,2023-11-08 10:57:00,i68,69.24,3,Ahmedabad,card,delivered
o219,u396,2023-02-13 20:06:00,i161,1070.45,4,Chennai,netbanking,delivered
o220,u152,2023-03-31 06:34:00,i157,578.18,5,Kolkata,netbanking,delivered
o221,u139,2023-10-10 02:13:00,i198,206.71,4,Pune,upi,delivered
o222,u234,2023-10-18 07:08:00,i141,350.07,4,Chennai,netbanking,delivered
o223,u70,2023-01-09 15:09:00,i134,392.71,1,Delhi,netbanking,delivered
o224,u431,2023-04-05 07:05:00,i85,678.81,1,Kolkata,netbanking,delivered
o225,u415,2023-12-22 19:28:00,i105,235.64,2,Ahmedabad,card,delivered
o226,u407,2023-11-04 13:47:00,i117,735.37,3,Mumbai,cash,delivered
o227,u253,2023-09-12 15:20:00,i94,1518.49,2,Chennai,upi,delivered
o228,u343,2023-07-07 10:32:00,i85,1022.64,5,Bangalore,card,cancelled
o229,u217,2023-07-27 10:44:00,i145,1755.76,3,Delhi,upi,delivered
o230,u260,2023-05-23 08:56:00,i179,1908.96,4,Hyderabad,netbanking,delivered
o231,u359,2023-09-19 02:57:00,i17,703.3,2,Ahmedabad,cash,delivered
o232,u413,2023-06-12 18:43:00,i32,774.48,3,Delhi,cash,delivered
o233,u178,2023-03-21 07:55:00,i193,1225.11,2,Mumbai,netbanking,delivered
o234,u282,2023-07-28 11:07:00,i152,1728.18,4,Chennai,card,cancelled
o235,u187,2023-03-09 01:21:00,i71,387.67,2,Kolkata,netbanking,cancelled
o236,u91,2023-01-18 18:24:00,i6,1706.3,5,Delhi,upi,delivered
o237,u369,2023-02-27 13:15:00,i92,1851.32,1,Hyderabad,upi,delivered
o238,u266,2023-08-06 19:21:00,i147,1808.36,4,Delhi,cash,delivered
o239,u164,2023-12-27 07:46:00,i185,47.8,4,Ahmedabad,cash,delivered
o240,u20,2023-06-17 07:26:00,i84,558.75,2,Mumbai,cash,delivered
o241,u342,2023-11-02 21:46:00,i45,695.82,4,Kolkata,netbanking,cancelled
o242,u178,2023-05-12 09:58:00,i194,724.46,4,Bangalore,upi,delivered
o243,u450,2023-08-29 04:32:00,i172,1222.8,1,Chennai,upi,delivered
o244,u483,2023-05-25 04:50:00,i104,1363.5,3,Hyderabad,cash,delivered
o245,u407,2023-11-18 02:44:00,i152,443.47,5,Delhi,netbanking,delivered
o246,u203,2023-02-05 21:41:00,i102,759.15,5,Mumbai,upi,delivered
o247,u338,2023-02-03 20:34:00,i196,1249.05,1,Chennai,cash,delivered
o248,u477,2023-12-19 22:57:00,i12,76.43,3,Delhi,upi,delivered
o249,u157,2023-01-13 15:30:00,i71,1613.25,1,Delhi,upi,delivered
o250,u376,2023-03-04 09:17:00,i53,1661.21,2,Pune,cash,delivered
o251,u384,2023-07-11 05:13:00,i61,934.24,3,Mumbai,netbanking,delivered
o252,u146,2023-03-17 14:27:00,i186,185.06,2,Pune,netbanking,delivered
o253,u427,2023-12-16 01:03:00,i30,1141.6,3,Hyderabad,card,delivered
o254,u36,2023-04-21 14:08:00,i11,1056.94,3,Hyderabad,netbanking,delivered
o255,u142,2023-11-21 01:35:00,i38,1413.98,4,Delhi,cash,delivered
o256,u362,2023-09-16 14:24:00,i5,980.73,5,Delhi,cash,delivered
o257,u47,2023-04-03 22:50:00,i104,1972.93,2,Mumbai,upi,delivered
o258,u305,2023-07-28 07:06:00,i140,1398.21,5,Pune,upi,cancelled
o259,u104,2023-12-30 16:15:00,i105,1179.11,2,Hyderabad,netbanking,delivered
o260,u498,2023-07-12 04:25:00,i156,380.2,2,Pune,upi,delivered
o261,u13,2023-09-07 23:56:00,i186,1528.34,2,Bangalore,card,delivered
o262,u222,2023-11-23 15:08:00,i133,1226.5,4,Mumbai,cash,returned
o263,u399,2023-09-08 01:37:00,i8,1336.9,1,Mumbai,upi,delivered
o264,u157,2023-12-20 10:20:00,i68,902.56,1,Pune,cash,delivered
o265,u192,2023-04-21 10:25:00,i139,1072.61,3,Pune,upi,delivered
o266,u282,2023-03-23 15:03:00,i153,718.86,4,Pune,cash,delivered
o267,u344,2023-07-18 09:15:00,i49,1198.06,4,Kolkata,netbanking,cancelled
o268,u288,2023-03-30 05:28:00,i184,748.37,5,Ahmedabad,netbanking,delivered
o269,u26,2023-09-17 13:39:00,i147,1831.41,5,Delhi,card,delivered
o270,u83,2023-10-06 16:15:00,i102,908.76,2,Mumbai,card,delivered
o271,u246,2023-04-25 15:01:00,i123,129.28,5,Pune,netbanking,cancelled
o272,u269,2023-07-30 11:14:00,i122,1926.9,2,Delhi,netbanking,delivered
o273,u322,2023-09-28 04:06:00,i103,791.53,2,Chennai,upi,delivered
o274,u227,2023-08-30 09:41:00,i134,1821.82,1,Hyderabad,netbanking,delivered
o275,u62,2023-09-14 07:13:00,i199,1873.43,1,Delhi,card,delivered
o276,u136,2023-05-22 10:43:00,i77,140.1,3,Mumbai,netbanking,delivered
o277,u319,2023-11-14 23:05:00,i160,1250.92,1,Mumbai,cash,delivered
o278,u149,2023-08-26 15:26:00,i114,1331.18,1,Hyderabad,netbanking,delivered
o279,u49,2023-03-17 01:27:00,i164,1127.75,5,Pune,netbanking,delivered
o280,u105,2023-01-01 22:02:00,i40,19.91,1,Mumbai,cash,delivered
o281,u12,2023-09-30 02:33:00,i13,1877.87,1,Hyderabad,card,delivered
o282,u443,2023-01-27 18:28:00,i128,1126.9,5,Bangalore,upi,returned
o283,u136,2023-11-22 21:53:00,i199,1790.85,4,Delhi,cash,delivered
o284,u426,2023-05-07 11:57:00,i127,1022.14,1,Ahmedabad,netbanking,cancelled
o285,u236,2023-09-09 13:00:00,i57,1309.74,3,Delhi,netbanking,delivered
o286,u114,2023-06-24 00:44:00,i25,1897.97,2,Delhi,cash,delivered
o287,u108,2023-11-06 10:02:00,i141,1705.65,2,Chennai,card,delivered
o288,u137,2023-07-03 23:26:00,i155,1956.17,2,Ahmedabad,upi,delivered
o289,u240,2023-03-01 23:44:00,i64,40.87,4,Delhi,card,delivered
o290,u493,2023-05-09 09:52:00,i46,1830.36,1,Mumbai,card,delivered
o291,u85,2023-08-15 19:47:00,i44,497.7,5,Ahmedabad,card,delivered
o292,u429,2023-04-09 07:17:00,i65,1495.93,4,Delhi,netbanking,returned
o293,u27,2023-06-14 06:18:00,i108,904.13,5,Chennai,netbanking,delivered
o294,u195,2023-12-12 00:32:00,i47,503.36,5,Mumbai,upi,delivered
o295,u492,2023-03-01 03:03:00,i172,1218.72,4,Ahmedabad,cash,delivered
o296,u18,2023-07-04 14:53:00,i17,1293.73,2,Chennai,upi,delivered
o297,u444,2023-05-21 14:11:00,i89,1157.05,1,Delhi,netbanking,returned
o298,u140,2023-08-08 18:11:00,i61,1680.27,1,Ahmedabad,netbanking,delivered
o299,u430,2023-08-10 10:07:00,i37,233.87,5,Delhi,card,delivered
o300,u427,2023-09-22 12:44:00,i111,1113.66,2,Pune,netbanking,returned
o301,u95,2023-01-10 16:49:00,i184,693.0,5,Ahmedabad,cash,delivered
o302,u474,2023-12-21 00:20:00,i87,84.8,3,Kolkata,cash,delivered
o303,u57,2023-12-14 11:05:00,i192,248.89,3,Delhi,netbanking,delivered
o304,u217,2023-07-09 06:53:00,i184,1951.86,3,Pune,card,delivered
o305,u475,2023-09-08 07:13:00,i87,1844.2,4,Kolkata,card,delivered
o306,u404,2023-03-06 17:31:00,i47,59.68,5,Hyderabad,cash,delivered
o307,u485,2023-01-03 07:07:00,i98,632.72,1,Pune,cash,delivered
o308,u157,2023-11-04 23:58:00,i108,1367.56,2,Hyderabad,netbanking,delivered
o309,u91,2023-06-19 04:18:00,i80,1643.02,5,Ahmedabad,card,delivered
o310,u356,2023-09-30 09:34:00,i31,990.17,5,Chennai,card,delivered
o311,u177,2023-06-02 23:51:00,i35,955.45,5,Mumbai,cash,delivered
o312,u480,2023-04-21 08:39:00,i102,1756.09,5,Ahmedabad,card,delivered
o313,u61,2023-06-04 02:41:00,i135,1858.97,2,Delhi,upi,delivered
o314,u182,2023-07-28 06:01:00,i183,80.43,2,Chennai,upi,delivered
o315,u132,2023-03-18 11:35:00,i102,469.31,5,Pune,netbanking,delivered
o316,u429,2023-04-30 08:47:00,i133,611.15,4,Pune,netbanking,delivered
o317,u338,2023-06-05 23:00:00,i76,1128.78,1,Bangalore,netbanking,delivered
o318,u270,2023-01-30 08:10:00,i151,18.84,1,Pune,card,delivered
o319,u267,2023-07-12 15:51:00,i183,846.54,1,Delhi,upi,delivered
o320,u99,2023-11-10 08:53:00,i184,1778.98,1,Mumbai,upi,cancelled
o321,u289,2023-10-10 02:32:00,i110,1746.22,5,Delhi,cash,delivered
o322,u149,2023-06-19 01:37:00,i52,1208.94,3,Delhi,card,cancelled
o323,u173,2023-10-19 19:57:00,i192,1544.21,2,Chennai,card,delivered
o324,u472,2023-06-20 20:29:00,i144,1956.23,1,Chennai,netbanking,delivered
o325,u208,2023-06-28 21:47:00,i35,407.09,5,Mumbai,upi,delivered
o326,u62,2023-05-06 23:09:00,i143,1798.82,2,Ahmedabad,upi,returned
o327,u153,2023-08-19 21:05:00,i84,1023.68,2,Chennai,cash,delivered
o328,u272,2023-03-10 03:58:00,i67,1469.28,4,Pune,card,delivered
o329,u8,2023-05-14 03:46:00,i34,1278.66,3,Hyderabad,netbanking,delivered
o330,u365,2023-06-06 06:12:00,i146,496.79,1,Bangalore,netbanking,delivered
o331,u320,2023-08-01 00:08:00,i81,24.15,1,Ahmedabad,cash,delivered
o332,u421,2023-11-24 20:19:00,i7,1945.38,5,Kolkata,netbanking,delivered
o333,u484,2023-01-03 14:54:00,i167,593.57,4,Pune,upi,delivered
